Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,category
39414,Text,2012-04-10,"The Masculine Cross
A History of Ancient and Modern Crosses and Their Connection with the Mysteries of Sex Worship; Also an Account of the Kindred Phases of Phallic Faiths and Practices",en,Anonymous,Phallicism; Crosses,BL,,B
39415,Text,2012-04-15,"Loss of the Steamship ""Titanic""",en,"Great Britain. Court to investigate loss of steamship ""Titanic""",Titanic (Steamship); Shipwrecks,VK,,V
39426,Text,2012-04-11,"Rupert, Prince Palatine",en,"Scott, Eva","Rupert, Prince, Count Palatine, 1619-1682",DA,,D
39435,Text,2012-04-12,"Encyclopaedia Britannica, 11th Edition, ""Helmont, Jean"" to ""Hernosand""
Volume 13, Slice 3",en,Various,Encyclopedias and dictionaries,AE,,A
39501,Text,2012-04-21,"Ladies on Horseback
Learning, Park-riding, and Hunting, with Hints Upon Costume, and Numerous Anecdotes",en,"O'Donoghue, Power, Mrs., 1858-",Horsemanship; Sidesaddle riding; Women in horse sports,SF,,S
39503,Text,2012-04-21,"Notes and Queries, Vol. IV, Number 113, December 27, 1851
A Medium of Inter-communication for Literary Men, Artists, Antiquaries, Genealogists, etc.",en,"Various; Bell, George, 1814-1890 [Editor]",Questions and answers -- Periodicals,AG,Notes and Queries,A
39511,Text,2012-04-22,The Psychological Origin and the Nature of Religion,en,"Leuba, James H. (James Henry), 1868-1946","Psychology, Religious; Magic",BL,,B
39539,Text,2012-04-26,"The Cambrian Sketch-Book: Tales, Scenes, and Legends of Wild Wales",en,"Davies, R. Rice, -1882",Tales -- Wales; Legends -- Wales; Folklore -- Wales,GR,,G
39569,Text,2012-04-29,The Adhesive Postage Stamp,en,"Chalmers, Patrick","Postage stamps; Hill, Rowland, Sir, 1795-1879; Chalmers, James, 1782-1853",HE,,H
39604,Text,2012-05-03,Burlesques,en,"Bateman, H. M. (Henry Mayo), 1887-1970","English wit and humor, Pictorial",NC,,N
39612,Text,2012-05-04,"The Life of a Conspirator
Being a Biography of Sir Everard Digby by One of His Descendants",en,"Longueville, Thomas, 1844-1922","Gunpowder Plot, 1605; Digby, Everard, Sir, 1578-1606",DA,,D
39688,Text,2012-05-13,The Balkan Peninsula,en,"Fox, Frank, 1874-1960",Balkan Peninsula -- History; Eastern question (Balkan),DR,,D
39710,Text,2012-05-16,Paris and the Parisians in 1835 (Vol. 2),en,"Trollope, Frances Milton, 1780-1863",Paris (France) -- Description and travel; Paris (France) -- Social life and customs -- 19th century,DC,,D
39742,Text,2012-05-20,Half a Man: The Status of the Negro in New York,en,"Ovington, Mary White, 1865-1951; Boas, Franz, 1858-1942 [Author of introduction, etc.]",African Americans -- New York (State) -- New York,F106,,F
39749,Text,2012-05-21,"Principles of Decorative Design
Fourth Edition",en,"Dresser, Christopher",Decoration and ornament; Decoration and ornament -- Victorian style,NK,,N
39752,Text,2012-05-21,Fairy Legends and Traditions of the South of Ireland,en,"Croker, Thomas Crofton, 1798-1854",Fairy tales -- Ireland; Legends -- Ireland,GR,,G
39770,Text,2012-05-23,"Punch, or the London Charivari, Volume 107, July 21st 1894",en,Various,English wit and humor -- Periodicals,AP,Punch,A
39779,Text,2012-05-23,"American Grape Training
An account of the leading forms now in use of Training the American Grapes",en,"Bailey, L. H. (Liberty Hyde), 1858-1954",Viticulture -- United States,SB,,S
